iter	Passed	Remaining
134	1914	12267
135	1924	12228
136	1933	12178
137	1942	12130
138	1951	12089
139	1962	12055
140	1972	12016
141	1983	11983
142	1995	11956
143	2007	11934
144	2016	11890
145	2028	11867
146	2039	11833
147	2048	11792
148	2056	11748
149	2066	11711
150	2084	11719
151	2105	11747
152	2118	11730
153	2130	11701
154	2142	11677
155	2154	11656
156	2164	11620
157	2175	11592
158	2187	11571
159	2198	11541
160	2208	11509
161	2219	11482
162	2234	11475
163	2243	11434
164	2256	11417
165	2266	11388
166	2277	11361
167	2289	11337
168	2302	11319
169	2311	11286
170	2324	11270
171	2337	11251
172	2346	11217
173	2358	11194
174	2368	11167
175	2379	11142
176	2389	11109
177	2400	11083
178	2410	11054
179	2418	11018
180	2430	10997
181	2440	10967
182	2448	10931
183	2457	10899
184	2467	10869
185	2476	1186	2186	2485	10807
187	2497	1188	2188	2506	10757
189	2518	10735
190	2530	10716
191	2540	10691
192	2552	10674
193	2564	10656
194	2579	10647
195	2591	10629
196	2605	10619
197	2617	10603
198	2631	1199	2199	2642	1200	2200	2653	1201	2201	2666	1202	2202	2678	1203	2203	2691	1204	2204	2701	1205	2205	2713	1206	2206	2724	1207	2207	2734	1208	2208	2746	1209	2209	2755	1210	2210	2765	1211	2211	2775	10314
212	2789	10304
213	2797	1214	2214	2807	1215	2215	2817	1216	2216	2828	1217	2217	2837	1218	2218	2848	1219	2219	2857	1220	2220	2867	10107
221	2877	1222	2222	2887	1223	2223	2896	1224	2224	2905	1225	2225	2914	9226	226	2927	99227227	2936	99422228	2948	9925
229	2959	9909
230	2973	9899
231	2985	9882
232	2995	9859
233	3004	9835
234	3013	9810
235	3022	9785
236	3033	9766
237	3046	9753
238	3056	9732
239	3065	9708
240	3075	9686
241	3090	9681
242	3126	9738
243	3143	9738
244	3165	9754
245	3188	9771
246	3204	9770
247	3227	9785
248	3241	9776
249	3263	9789
250	3277	9781
251	3293	9774
252	3315	9789
253	3327	9771
254	3339	9755
255	3351	9741
256	3364	9728
257	3375	9708
258	3385	9686
259	3395	9663
260	3405	9642
261	3418	9629
262	3429	9610
263	3442	9596
264	3453	9577
265	3462	9555
266	3476	9543
267	3485	9519
268	3495	9499
269	3506	9479
270	3518	9465
271	3527	9441
272	3539	9425
273	3548	9401
274	3559	9383
275	3568	9360
276	3584	9354
277	3595	9337
278	3604	9314
279	3621	9312
280	3635	9301
281	3645	9280
282	3655	9260
283	3666	9243
284	3678	9228
285	3690	9213
286	3701	9196
287	3715	9185
288	3725	9166
289	3738	9153
290	3750	9138
291	3761	9120
292	3774	9107
293	3785	9089
294	3796	9073
295	3806	9053
296	3817	9035
297	3829	9021
298	3841	9006
299	3855	8995
300	3864	8975
301	3876	8959
302	3887	8942
303	3903	8936
304	3917	8926
305	3927	8907
306	3951	8920
307	3975	8931
308	3996	8936
309	4011	8929
310	4027	8922
311	4038	8906
312	4054	8899
313	4070	8892
314	4085	8884
315	4098	8871
316	4139	8918
317	4165	8932
318	4179	8923
319	4193	8911
320	4207	8899
321	4220	8885
322	4239	8886
323	4255	8878
324	4270	8869
325	4286	8862
326	4317	8884
327	4349	8911
328	4394	8962
329	4413	8961
330	4431	8956
331	4447	8949
332	4459	8932
333	4474	8922
334	4488	8910
335	4510	8912
336	4533	8918
337	4553	8918
338	4572	8915
339	4586	8903
340	4602	8894
341	4614	8877
342	4641	8890
343	4740	9040
344	4758	9033
345	4795	9063
346	4828	9086
347	4856	9099
348	4882	9107
349	4915	9129
350	4931	9117
351	4949	9112
352	4965	9101
353	4978	9085
354	4993	9072
355	5008	9061
356	5024	9050
357	5048	9053
358	5060	9036
359	5082	9035
360	5104	9035
361	5126	9035
362	5160	9056
363	5200	9086
364	5246	9127
365	5296	9174
366	5343	9216
367	5400	9275
368	5423	9273
369	5447	9276
370	5467	9269
371	5478	9249
372	5497	9240
373	5508	9219
374	5530	9216
375	5541	9196
376	5556	9182
377	5587	9194
378	5603	9181
379	5614	9160
380	5629	9146
381	5640	9124
382	5655	9110
383	5669	9094
384	5680	9073
385	5698	9064
386	5710	9044
387	5726	9031
388	5738	9014
389	5751	8995
390	5762	8975
391	5773	8955
392	5788	8940
393	5806	8930
394	5819	8913
395	5833	8897
396	5844	8877
397	5859	8862
398	5875	8850
399	5887	8830
400	5897	8810
401	5907	8787
402	5926	8779
403	5944	8768
404	5955	8749
405	5972	8737
406	5984	8718
407	6001	8708
408	6014	8690
409	6033	8681
410	6051	8671
411	6065	8655
412	6074	8634
413	6087	8617
414	6100	8600
415	6112	8581
416	6124	8562
417	6133	8540
418	6143	8518
419	6153	8498
420	6164	8478
421	6174	8456
422	6183	8435
423	6194	8414
424	6205	8395
425	6215	8375
426	6228	8357
427	6238	8337
428	6253	8323
429	6266	8306
430	6280	8290
431	6293	8274
432	6309	8261
433	6330	8255
434	6347	8245
435	6363	8232
436	6377	8216
437	6390	8200
438	6401	8180
439	6410	8158
440	6419	8136
441	6428	8115
442	6437	8094
443	6449	8076
444	6470	8070
445	6485	8056
446	6513	8058
447	6523	8038
448	6534	8018
449	6550	8006
450	6567	7994
451	6578	7976
452	6606	7977
453	6622	7964
454	6636	7948
455	6655	7940
456	6666	7921
457	6677	7902
458	6689	7884
459	6704	7870
460	6715	7851
461	6724	7831
462	6733	7809
463	6750	7797
464	6760	7777
465	6770	7758
466	6781	7740
467	6801	7731
468	6811	7712
469	6821	7691
470	6831	7672
471	6849	7662
472	6858	7641
473	6874	7629
474	6889	7615
475	6903	7599
476	6916	7583
477	6926	7563
478	6941	7550
479	6956	7535
480	6969	7520
481	6979	7500
482	6990	7483
483	7001	7464
484	7016	7450
485	7024	7429
486	7035	7411
487	7046	7393
488	7056	7374
489	7067	7355
490	7078	7337
491	7088	7319
492	7099	7300
493	7109	7282
494	7117	7261
495	7128	7243
496	7140	7227
497	7153	7210
498	7164	7193
499	7175	7175
500	7186	7157
501	7196	7139
502	7206	7120
503	7214	7100
504	7223	7080
505	7240	7068
506	7254	7054
507	7291	7061
508	7306	7048
509	7317	7030
510	7331	7016
511	7347	7003
512	7363	6989
513	7377	6975
514	7391	6961
515	7420	6960
516	7443	6953
517	7455	6937
518	7464	6917
519	7474	6899
520	7486	6883
521	7497	6865
522	7509	6849
523	7519	6830
524	7531	6813
525	7543	6797
526	7552	6778
527	7565	6762
528	7577	6746
529	7589	6730
530	7598	6710
531	7608	6693
532	7617	6673
533	7630	6659
534	7641	6641
535	7649	6621
536	7660	6604
537	7670	6587
538	7680	6569
539	7691	6552
540	7701	6534
541	7711	6516
542	7720	6497
543	7732	6481
544	7743	6464
545	7758	6450
546	7768	6433
547	7779	6416
548	7791	6401
549	7800	6382
550	7808	6362
551	7818	6345
552	7829	6328
553	7841	6312
554	7849	6294
555	7864	6280
556	7872	6261
557	7887	6247
558	7898	6231
559	7907	6212
560	7915	6194
561	7927	6178
562	7941	6163
563	7950	6146
564	7962	6130
565	7973	6114
566	7990	6102
567	8009	6091
568	8022	6076
569	8036	6062
570	8047	6045
571	8057	6028
572	8068	6012
573	8080	5997
574	8091	5980
575	8101	5963
576	8110	5945
577	8123	5930
578	8137	5916
579	8147	5899
580	8158	5883
581	8170	5867
582	8180	5850
583	8191	5834
584	8200	5817
585	8209	5799
586	8221	5784
587	8232	5768
588	8240	5750
589	8250	5733
590	8261	5717
591	8275	5703
592	8285	5687
593	8296	5670
594	8306	5653
595	8316	5637
596	8328	5622
597	8338	5605
598	8349	5589
599	8359	5572
600	8371	5557
601	8381	5541
602	8395	5527
603	8405	5510
604	8414	5493
605	8423	5476
606	8433	5460
607	8443	5443
608	8453	5427
609	8465	5412
610	8474	5395
611	8482	5377
612	8491	5360
613	8501	5344
614	8513	5329
615	8522	5312
616	8533	5297
617	8542	5280
618	8550	5263
619	8559	5246
620	8571	5231
621	8580	5214
622	8592	5199
623	8602	5183
624	8611	5166
625	8623	5151
626	8632	5135
627	8642	5119
628	8653	5104
629	8673	5093
630	8687	5080
631	8699	5065
632	8712	5051
633	8726	5037
634	8734	5020
635	8744	5004
636	8754	4988
637	8771	4977
638	8783	4962
639	8792	4945
640	8801	4929
641	8810	4913
642	8826	4900
643	8834	4883
644	8843	4867
645	8852	4851
646	8870	4839
647	8880	4824
648	8890	4808
649	8901	4792
650	8913	4778
651	8923	4762
652	8932	4746
653	8942	4731
654	8952	4715
655	8970	4704
656	8984	4690
657	8998	4676
658	9013	4663
659	9027	4650
660	9036	4634
661	9046	4618
662	9059	4604
663	9080	4595
664	9092	4580
665	9102	4564
666	9115	4551
667	9125	4535
668	9133	4519
669	9142	4503
670	9152	4487
671	9162	4472
672	9178	4459
673	9187	4444
674	9196	4427
675	9206	4412
676	9221	4399
677	9230	4383
678	9240	4368
679	9248	4352
680	9259	4337
681	9268	4321
682	9280	4307
683	9290	4292
684	9300	4276
685	9310	4261
686	9319	4246
687	9328	4230
688	9336	4214
689	9347	4199
690	9357	4184
691	9371	4171
692	9381	4156
693	9391	4140
694	9399	4125
695	9409	4109
696	9418	4094
697	9427	4078
698	9435	4062
699	9443	4047
700	9453	4032
701	9463	4017
702	9474	4002
703	9483	3987
704	9492	3972
705	9502	3957
706	9513	3942
707	9522	3927
708	9531	3912
709	9540	3897
710	9551	3882
711	9560	3867
712	9571	3852
713	9581	3837
714	9589	3822
715	9598	3807
716	9609	3792
717	9618	3777
718	9626	3762
719	9635	3747
720	9645	3732
721	9654	3717
722	9665	3703
723	9674	3688
724	9684	3673
725	9694	3658
726	9706	3645
727	9716	3630
728	9724	3615
729	9733	3600
730	9746	3586
731	9757	3572
732	9768	3558
733	9777	3543
734	9786	3528
735	9795	3513
736	9806	3499
737	9815	3484
738	9824	3469
739	9833	3454
740	9842	3440
741	9851	3425
742	9859	3410
743	9870	3396
744	9881	3382
745	9892	3368
746	9903	3354
747	9911	3339
748	9920	3324
749	9930	3310
750	9940	3295
751	9948	3280
752	9960	3267
753	9970	3252
754	9981	3239
755	9991	3224
756	10002	3210
757	10012	3196
758	10021	3182
759	10030	3167
760	10040	3153
761	10052	3139
762	10062	3125
763	10071	3111
764	10080	3096
765	10091	3082
766	10103	3069
767	10110	3054
768	10123	3040
769	10130	3026
770	10140	3012
771	10150	2997
772	10161	2983
773	10174	2970
774	10185	2957
775	10193	2942
776	10201	2927
777	10210	2913
778	10219	2899
779	10229	2885
780	10238	2871
781	10246	2856
782	10264	2844
783	10273	2830
784	10281	2815
785	10296	2803
786	10303	2788
787	10313	2774
788	10321	2760
789	10327	2745
790	10338	2731
791	10347	2717
792	10359	2704
793	10368	2690
794	10378	2676
795	10387	2662
796	10397	2648
797	10406	2634
798	10414	2620
799	10423	2605
800	10432	2591
801	10441	2577
802	10451	2564
803	10463	2550
804	10474	2537
805	10484	2523
806	10495	2510
807	10503	2495
808	10512	2482
809	10522	2468
810	10532	2454
811	10541	2440
812	10555	2427
813	10566	2414
814	10575	2400
815	10588	2387
816	10596	2373
817	10604	2359
818	10611	2345
819	10622	2331
820	10633	2318
821	10641	2304
822	10653	2291
823	10662	2277
824	10672	2263
825	10682	2250
826	10691	2236
827	10700	2222
828	10709	2209
829	10718	2195
830	10729	2182
831	10738	2168
832	10750	2155
833	10760	2141
834	10770	2128
835	10779	2114
836	10792	2101
837	10801	2088
838	10810	2074
839	10819	2060
840	10829	2047
841	10838	2033
842	10848	2020
843	10859	2007
844	10869	1993
845	10879	1980
846	10890	1967
847	10899	1953
848	10908	1940
849	10919	1926
850	10928	1913
851	10938	1900
852	10948	1886
853	10961	1873
854	10970	1860
855	10981	1847
856	10990	1833
857	10999	1820
858	11008	1806
859	11018	1793
860	11028	1780
861	11036	1766
862	11047	1753
863	11056	1740
864	11068	1727
865	11080	1714
866	11089	1701
867	11100	1688
868	11113	1675
869	11126	1662
870	11135	1649
871	11148	1636
872	11160	1623
873	11172	1610
874	11183	1597
875	11194	1584
876	11204	1571
877	11215	1558
878	11228	1545
879	11237	1532
880	11246	1519
881	11259	1506
882	11269	1493
883	11280	1480
884	11289	1467
885	11298	1453
886	11308	1440
887	11321	1427
888	11328	1414
889	11339	1401
890	11348	1388
891	11358	1375
892	11368	1362
893	11378	1349
894	11386	1335
895	11396	1322
896	11404	1309
897	11414	1296
898	11424	1283
899	11435	1270
900	11443	1257
901	11455	1244
902	11465	1231
903	11471	1218
904	11480	1205
905	11488	1192
906	11497	1178
907	11506	1165
908	11515	1152
909	11525	1139
910	11539	1127
911	11624	1121
912	11635	1108
913	11643	1095
914	11655	1082
915	11665	1069
916	11675	1056
917	11683	1043
918	11692	1030
919	11700	1017
920	11710	1004
921	11721	991
922	11731	978
923	11741	965
924	11751	952
925	11762	940
926	11771	927
927	11780	914
928	11788	900
929	11798	888
930	11808	875
931	11817	862
932	11830	849
933	11839	836
934	11850	823
935	11860	810
936	11870	798
937	11878	785
938	11887	772
939	11895	759
940	11905	746
941	11914	733
942	11926	720
943	11934	707
944	11943	695
945	11953	682
946	11965	669
947	11974	656
948	11983	644
949	11992	631
950	12003	618
951	12011	605
952	12019	592
953	12030	580
954	12039	567
955	12045	554
956	12054	541
957	12066	528
958	12076	516
959	12084	503
960	12094	490
961	12104	478
962	12113	465
963	12124	452
964	12134	440
965	12148	427
966	12159	414
967	12169	402
968	12177	389
969	12191	377
970	12199	364
971	12209	351
972	12224	339
973	12233	326
974	12245	313
975	12255	301
976	12266	288
977	12274	276
978	12283	263
979	12293	250
980	12302	238
981	12314	225
982	12327	213
983	12335	200
984	12344	187
985	12360	175
986	12369	162
987	12383	150
988	12398	137
989	12409	125
990	12422	112
991	12432	100
992	12441	87
993	12454	75
994	12463	62
995	12472	50
996	12480	37
997	12490	25
998	12502	12
999	12510	0
