iter	RMSE
0	34.64849518
1	32.57668057
2	30.77773379
3	29.11920146
4	27.66414993
5	26.3713017
6	25.23304557
7	24.22240884
8	23.33270097
9	22.55087277
10	21.88801519
11	21.28816565
12	20.7748325
13	20.30411416
14	19.91658423
15	19.56532409
16	19.26589598
17	18.99905718
18	18.77790772
19	18.58090607
20	18.41721964
21	18.28160256
22	18.16423934
23	18.05653729
24	17.97100551
25	17.88918946
26	17.81823154
27	17.76054932
28	17.70756761
29	17.6632707
30	17.62639361
31	17.59156534
32	17.56407018
33	17.54169636
34	17.51597877
35	17.49685562
36	17.47438801
37	17.46009873
38	17.44695924
39	17.43289232
40	17.41920215
41	17.41041995
42	17.40094232
43	17.3915916
44	17.3859089
45	17.38048025
46	17.37390486
47	17.36991769
48	17.36562386
49	17.36124559
50	17.35675089
51	17.35368426
52	17.35010243
53	17.34615651
54	17.34407245
55	17.34116636
56	17.33841088
57	17.33658036
58	17.33486658
59	17.33314208
60	17.33150091
61	17.33004475
62	17.32864542
63	17.32760351
64	17.3266573
65	17.32600603
66	17.32517322
67	17.32411567
68	17.3228263
69	17.32193617
70	17.32133096
71	17.32062959
72	17.31974439
73	17.3189773
74	17.31867016
75	17.31826181
76	17.31751768
77	17.31731493
78	17.31685433
79	17.3166379
80	17.31655665
81	17.31650978
82	17.31608147
83	17.31566913
84	17.31555524
85	17.31484602
86	17.31448645
87	17.31416443
88	17.31389183
89	17.31353452
90	17.31349025
91	17.31308309
92	17.31231977
93	17.31226453
94	17.31211509
95	17.31177444
96	17.31142989
97	17.31137401
98	17.31118069
99	17.31096857
100	17.31091149
101	17.31068467
102	17.31043615
103	17.31025765
104	17.31023608
105	17.31020627
106	17.31011081
107	17.3097539
108	17.30972277
109	17.30930332
110	17.3090822
111	17.30904382
112	17.30836374
113	17.3079931
114	17.30779411
115	17.3075918
116	17.30757498
117	17.30741102
118	17.30713724
119	17.30700438
120	17.30679541
121	17.30638291
122	17.3059729
123	17.30546719
124	17.30533114
125	17.30516463
126	17.30503127
127	17.30491088
128	17.30478975
129	17.30471348
130	17.30465311
131	17.3042542
132	17.30379394
133	17.303599
134	17.30352551
135	17.30324119
136	17.30314753
137	17.30305984
138	17.30262449
139	17.30239442
140	17.30212028
141	17.30163914
142	17.30130705
143	17.30105539
144	17.30097272
145	17.30064422
146	17.30048955
147	17.30019072
148	17.29990164
149	17.29982411
150	17.29967356
151	17.29946763
152	17.29914626
153	17.29885269
154	17.29877145
155	17.29843449
156	17.29816739
157	17.29808645
158	17.29791979
159	17.2977718
160	17.29767234
161	17.29760953
162	17.29748837
163	17.29732971
164	17.29703478
165	17.29681668
166	17.29669114
167	17.29645259
168	17.29623174
169	17.29619612
170	17.29610208
171	17.29592813
172	17.29579851
173	17.2954694
174	17.29537951
175	17.29527654
176	17.29513543
177	17.295073
178	17.2949686
179	17.29485573
180	17.29470368
181	17.29463901
182	17.29459669
183	17.2945475
184	17.29449675
185	17.29186	17.186	17.29427769
187	17.29188	17.188	17.29411659
189	17.29391645
190	17.2191	17.3191	17.29366333
192	17.29349595
193	17.2933159
194	17.293079
195	17.29276582
196	17.2925751
197	17.2925137
198	17.29241199	199	17.29238200	200	17.29236201	201	17.29231202	202	17.29229203	203	17.29213204	204	17.29194205	205	17.29175206	206	17.29165207	207	17.2915208	1208	17.2913209	1209	17.2913210	1210	17.2911211	1211	17.2911212	1212	17.29091057
213	17.2908214	1214	17.2907215	1215	17.2906216	1216	17.29060474
217	17.2905218	1218	17.2902219	1219	17.290220	17220	17.29010454
221	17.290222	17222	17.289223	1223	17.2897224	224	17.2897225	1225	17.2897226	1226	17.2894227	1227	17.2893228	1228	17.28911614
229	17.2890387
230	17.28890291
231	17.28871838
232	17.28851732
233	17.28842464
234	17.28837242
235	17.28834236	236	17.28817676
237	17.28814558
238	17.28811174
239	17.2880240	1240	17.2879241	1241	17.2878242	1242	17.2877243	1243	17.2876244	1244	17.2875245	1245	17.2874246	1246	17.2873247	247	17.28737248	248	17.28730249	249	17.28721250	250	17.28717251	251	17.2871252	1252	17.287253	17253	17.287254	17254	17.28694762
255	17.28689294
256	17.28681092
257	17.28672886
258	17.28661512
259	17.28651476
260	17.2864471
261	17.28634102
262	17.28627909
263	17.286212
264	17.28600978
265	17.28592002
266	17.28582991
267	17.28579442
268	17.2856527
269	17.28547173
270	17.28536025
271	17.2852272	1272	17.28523381
273	17.2852274	1274	17.2850275	1275	17.2849276	1276	17.28483691
277	17.28481311
278	17.2847279	1279	17.284280	17280	17.284281	17281	17.284282	1282	17.2845283	1283	17.2844284	1284	17.2844285	1285	17.2843286286	17.28418235
287	17.28411436
288	17.28393926
289	17.28390202
290	17.28384004
291	17.28373169
292	17.28368812
293	17.28364183
294	17.2835799
295	17.28353896
296	17.28350611
297	17.28347327
298	17.28340712299	17.28326516
300	17.28320492
301	17.28313938
302	17.28302921
303	17.28295672
304	17.28292021
305	17.28290869
306	17.28286705
307	17.28280829
308	17.28280072
309	17.28278352
310	17.28274809
311	17.28273417
312	17.28263891
313	17.28260924
314	17.28254034
315	17.28253163
316	17.28251638
317	17.28246029
318	17.2824444
319	17.28239501
320	17.28237319
321	17.28234269
322	17.28232234
323	17.28226913
324	17.28224998
325	17.28223358
326	17.28222415
327	17.282115732328	17.28202339
329	17.28194818
330	17.28191451
331	17.28184428
332	17.28183669
333	17.28175641
334	17.28167965
335	17.28163695
336	17.28153482
337	17.28151078
338	17.28148622
339	17.28147894
340	17.2814575
341	17.28143351
342	17.28129186
343	17.28127607
344	17.28122511
345	17.28112531
346	17.28108916
347	17.2810173
348	17.2809871
349	17.28093896
350	17.2809065
351	17.28087834
352	17.2808585
353	17.28081326
354	17.28078571
355	17.28076372
356	17.28057544
357	17.28049703
358	17.2804455
359	17.28043644
360	17.28040148
361	17.28036963
362	17.28033135
363	17.28032621
364	17.28031035
365	17.28028645
366	17.28027589
367	17.28026718
368	17.28024471
369	17.28023655
370	17.28022403
371	17.28020822
372	17.28018972
373	17.28018336
374	17.28011747
375	17.28003635
376	17.28001965
377	17.27999321
378	17.27993222
379	17.27992057
380	17.27986703
381	17.27984577
382	17.27974017
383	17.27971733
384	17.27970376
385	17.27970143
386	17.27966881
387	17.27965337
388	17.27962931
389	17.27961405
390	17.27959815
391	17.27958384
392	17.27949662
393	17.27940006
394	17.27930284
395	17.27928762
396	17.27923537
397	17.27921834
398	17.27911011
399	17.27907059
400	17.27904424
401	17.27902513
402	17.27900488
403	17.27899386
404	17.2789754
405	17.27894434
406	17.27892025
407	17.27889004
408	17.27884241
409	17.27883896
410	17.27882765
411	17.27876023
412	17.27871434
413	17.27868758
414	17.27864805
415	17.27860602
416	17.27858266
417	17.27851196
418	17.27850125
419	17.27849489
420	17.27843974
421	17.27841838
422	17.27840805
423	17.27834597
424	17.27826697
425	17.27825868
426	17.27819211
427	17.27818456
428	17.2781325
429	17.2781136
430	17.27810124
431	17.27808292
432	17.27805526
433	17.2780393
434	17.27801823
435	17.27800863
436	17.27800286
437	17.277983
438	17.27796323
439	17.27795327
440	17.27794384
441	17.27791638
442	17.27789625
443	17.27780752
444	17.27772882
445	17.27771881
446	17.27770689
447	17.27769327
448	17.27768564
449	17.27766813
450	17.27763276
